,Disease,Symptoms,Cleaned_Symptoms
181,Coma,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
182,Constipation,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
183,Coronavirus (COVID-19): Longer-term effects (long COVID),"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
184,Croup,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
185,Deep vein thrombosis,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
186,Dementia,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
187,Dermatitis herpetiformis,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
188,Diarrhoea,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
189,Down’s syndrome,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
190,Dystonia,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
191,Earwax build-up,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
192,Edwards’ syndrome,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
193,Ewing sarcoma,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
194,Eating disorders,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
195,Feeling of something in your throat (Globus),"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
196,Fibromyalgia,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
197,Food poisoning,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
198,Frozen shoulder,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
199,Gallstones,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
200,Genital herpes,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
201,Gonorrhoea,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
202,Haemorrhoids (piles),"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
203,Head and neck cancer,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
204,Headaches,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
205,Heart attack,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
206,Heart palpitations,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
207,Hiatus hernia,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
208,Hodgkin lymphoma,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
209,Hyperhidrosis,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
210,Impetigo,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
211,Infertility,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
212,Itching,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
213,Joint hypermobility,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
214,Kidney infection,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
215,Lichen planus,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
216,Loss of libido,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
217,Lymphogranuloma venereum (LGV),"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
218,Managing genital symptoms,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
219,Menopause,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
220,Miscarriage,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
221,Mouth ulcer,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
222,Mumps,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
223,Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS),"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
224,Neck problems,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
225,Non-Hodgkin lymphoma,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
226,Nosebleed,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
227,Osteoarthritis of the hip,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
228,Osteoporosis,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
229,Ovarian cancer,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
230,Overactive thyroid,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
231,Panic disorder,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
232,Pelvic organ prolapse,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
233,PIMS,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
234,Pleurisy,"Some of the main symptoms of flu include:

a sudden high temperature
tiredness and weakness
a headache
general aches and pains
a dry, chesty cough
sore throat
difficulty sleeping
loss of appetite
diarrhoea or tummy pain
feeling sick and being sick
chills
a runny or blocked nose
sneezing

The symptoms are similar for children. They may also get pain in their ear and be less active.
",main symptom flu include sudden high temperature tiredness weakness headache general ache pain dry chesty cough sore throat difficulty sleeping loss appetite diarrhoea tummy pain feeling sick sick chill runny blocked nose sneezing symptom similar child may also get pain ear le active
